Date time,Max temp,Min temp
2019-04-01,31.2,24.1
2019-04-02,27.7,22.2
2019-04-03,28.4,23.9
2019-04-04,28.5,23.2
2019-04-05,30.1,23.1
2019-04-06,28.2,22.9
2019-04-07,29.0,22.1
2019-04-08,29.7,22.3
2019-04-09,29.5,20.4
2019-04-10,30.3,20.3
2019-04-11,30.4,21.5
2019-04-12,29.9,20.3
2019-04-13,29.4,22.5
2019-04-14,28.0,22.3
2019-04-15,28.7,22.1
2019-04-16,28.7,19.9
2019-04-17,28.8,19.2
2019-04-18,29.1,20.8
2019-04-19,,21.1
2019-04-20,,21.1
2019-04-21,30.3,21.0
2019-04-22,29.8,23.3
2019-04-23,30.1,21.6
2019-04-24,30.7,22.4
2019-04-25,31.0,23.4
2019-04-26,31.0,22.0
2019-04-27,30.5,22.0
2019-04-28,28.4,23.0
2019-04-29,29.2,22.8
2019-04-30,25.8,22.4
2019-05-01,27.5,21.7
2019-05-02,28.9,22.4
2019-05-03,28.7,22.8
2019-05-04,29.2,22.4
2019-05-05,29.0,21.4
2019-05-06,27.9,19.4
2019-05-07,27.7,16.1
2019-05-08,27.7,16.7
2019-05-09,29.3,16.8
2019-05-10,27.6,21.6
2019-05-11,28.7,24.4
2019-05-12,25.9,19.1
2019-05-13,29.0,19.7
2019-05-14,27.5,22.2
2019-05-15,28.7,21.7
2019-05-16,27.1,22.9
2019-05-17,26.6,22.2
2019-05-18,27.1,22.1
2019-05-19,26.2,22.3
2019-05-20,27.1,21.9
2019-05-21,27.0,21.0
2019-05-22,26.4,21.0
2019-05-23,26.2,21.3
2019-05-24,27.8,21.0
2019-05-25,27.7,18.2
2019-05-26,27.3,20.8
2019-05-27,27.2,20.5
2019-05-28,27.7,19.5
2019-05-29,27.9,19.1
2019-05-30,27.2,19.0
2019-05-31,25.2,20.9
2019-06-01,23.9,19.5
2019-06-02,23.9,19.8
2019-06-03,25.0,21.1
2019-06-04,25.0,17.9
2019-06-05,21.5,17.1
2019-06-06,22.6,17.1
2019-06-07,22.5,19.1
2019-06-08,24.6,20.4
2019-06-09,26.2,20.7
2019-06-10,27.5,21.3
2019-06-11,27.4,21.1
2019-06-12,26.7,19.7
2019-06-13,25.7,20.5
2019-06-14,26.2,20.0
2019-06-15,26.1,16.9
2019-06-16,27.0,19.0
2019-06-17,26.8,17.7
2019-06-18,26.2,15.8
2019-06-19,25.7,16.7
2019-06-20,25.2,14.2
2019-06-21,25.2,11.7
2019-06-22,25.2,11.5
2019-06-23,24.9,14.3
2019-06-24,25.9,10.8
2019-06-25,25.8,12.7
2019-06-26,24.4,18.0
2019-06-27,26.0,20.1
2019-06-28,26.8,19.3
2019-06-29,24.2,20.7
2019-06-30,25.6,13.4
2019-07-01,25.3,14.6
2019-07-02,25.8,18.4
2019-07-03,,13.3
2019-07-04,24.2,13.4
2019-07-05,25.5,16.1
2019-07-06,26.2,19.7
2019-07-07,27.0,16.2
2019-07-08,27.5,16.4
2019-07-09,23.7,20.6
2019-07-10,26.4,19.1
2019-07-11,26.6,18.7
2019-07-12,25.0,17.8
2019-07-13,26.3,14.5
2019-07-14,25.6,12.0
2019-07-15,23.2,14.4
2019-07-16,23.6,8.5
2019-07-17,24.1,9.2
2019-07-18,24.6,10.4
2019-07-19,23.9,9.5
