Date time,Amount
2018-Sep-17,0
2018-Sep-18,0
2018-Sep-19,1
2018-Sep-20,0
2018-Sep-21,0
2018-Sep-22,6.4
2018-Sep-23,4
2018-Sep-24,6
2018-Sep-25,0.4
2018-Sep-26,0
2018-Sep-27,2
2018-Sep-28,0
2018-Sep-29,0
2018-Sep-30,0
2018-Oct-1,0
2018-Oct-2,7
2018-Oct-3,5
2018-Oct-4,4
2018-Oct-5,0
2018-Oct-6,0
2018-Oct-7,0
2018-Oct-8,0
2018-Oct-9,0
2018-Oct-10,0
2018-Oct-11,0
2018-Oct-12,0
2018-Oct-13,2
2018-Oct-14,25
2018-Oct-15,0.6
2018-Oct-16,0
2018-Oct-17,0
2018-Oct-18,0
2018-Oct-19,0
2018-Oct-20,0
2018-Oct-21,0
2018-Oct-22,0
2018-Oct-23,0
2018-Oct-24,0
2018-Oct-25,0
2018-Oct-26,0
2018-Oct-27,0
2018-Oct-28,0
2018-Oct-29,0
2018-Oct-30,0
2018-Oct-31,0
2018-Nov-1,0
2018-Nov-2,10
2018-Nov-3,6
2018-Nov-4,7
2018-Nov-5,1.2
2018-Nov-6,0
2018-Nov-7,0
2018-Nov-8,0
2018-Nov-9,0
2018-Nov-10,1.2
2018-Nov-11,16
2018-Nov-12,4
2018-Nov-13,0.4
2018-Nov-14,0.8
2018-Nov-15,0
2018-Nov-16,0
2018-Nov-17,0
2018-Nov-18,0
2018-Nov-19,0
2018-Nov-20,8
2018-Nov-21,6
2018-Nov-22,0
2018-Nov-23,3.4
2018-Nov-24,0
2018-Nov-25,0
2018-Nov-26,0
2018-Nov-27,0
2018-Nov-28,2
2018-Nov-29,26
2018-Nov-30,0
2018-Dec-1,0
2018-Dec-2,0
2018-Dec-3,0
2018-Dec-4,0.4
2018-Dec-5,0
2018-Dec-6,9
2018-Dec-7,18
2018-Dec-8,77
2018-Dec-9,16
2018-Dec-10,164
2018-Dec-11,6
2018-Dec-12,7
2018-Dec-13,0
2018-Dec-14,5
2018-Dec-15,5
2018-Dec-16,162
2018-Dec-17,0
2018-Dec-18,0
2018-Dec-19,0
2018-Dec-20,2
2018-Dec-21,0
2018-Dec-22,0
2018-Dec-23,0
2018-Dec-24,33
2018-Dec-25,185
2018-Dec-26,139
2018-Dec-27,203
2018-Dec-28,13
2018-Dec-29,45
2018-Dec-30,92
2018-Dec-31,12
2019-Jan-1,2
2019-Jan-2,9
2019-Jan-3,0.4
2019-Jan-4,0
2019-Jan-5,6
2019-Jan-6,0
2019-Jan-7,0
2019-Jan-8,0
2019-Jan-9,0
2019-Jan-10,0
2019-Jan-11,0.4
2019-Jan-12,50
2019-Jan-13,2
2019-Jan-14,18
2019-Jan-15,42
2019-Jan-16,27
2019-Jan-17,1
2019-Jan-18,0
2019-Jan-19,27
2019-Jan-20,13
2019-Jan-21,12
2019-Jan-22,7
2019-Jan-23,7
2019-Jan-24,18
2019-Jan-25,33
2019-Jan-26,91
2019-Jan-27,253
2019-Jan-28,198
2019-Jan-29,33
2019-Jan-30,83
2019-Jan-31,111
2019-Feb-1,70
2019-Feb-2,48
2019-Feb-3,9
2019-Feb-4,23
2019-Feb-5,6
2019-Feb-6,9
2019-Feb-7,18
2019-Feb-8,1.8
2019-Feb-9,19
2019-Feb-10,0
2019-Feb-11,20
2019-Feb-12,0.2
2019-Feb-13,0
2019-Feb-14,0
2019-Feb-15,0
2019-Feb-16,0
2019-Feb-17,0
2019-Feb-18,0
